RPM Function ID and Name,RPM Activity ID and Name,Capability ID,"(I)input
(P)process
(O)output",Business Capability Statement,Authoritative Reference,Other Source
RPM.040 Real Property Asset Operation,RPM.040.020 Real Property Asset Use by non-Federal Entities,RPM.040.020.102,O,"Provide fine information concerning violation of contract, license, or permit terms, including line of accounting information using standard accounting code structure ",,
RPM.040 Real Property Asset Operation,RPM.040.020 Real Property Asset Use by non-Federal Entities,RPM.040.020.111,P,"Develop and document notification of violation of contract, license, or permit terms, including fine information",,"General Services Administration (GSA) Lease Management Customer Guide, Jan. 26, 2015"
RPM.040 Real Property Asset Operation,RPM.040.020 Real Property Asset Use by non-Federal Entities,RPM.040.020.112,O,"Provide notification of violation of contract, license, or permit terms, including fine information",,"General Services Administration (GSA) Lease Management Customer Guide, Jan. 26, 2015"
RPM.040 Real Property Asset Operation,RPM.040.020 Real Property Asset Use by non-Federal Entities,RPM.040.020.121,P,"Develop and document notification of termination or revocation of contract, license, or permit",OMB Circular A-45R ,
RPM.040 Real Property Asset Operation,RPM.040.020 Real Property Asset Use by non-Federal Entities,RPM.040.020.122,O,"Provide notification of termination or revocation for contract, license, or permit",OMB Circular A-45R ,
RPM.040 Real Property Asset Operation,RPM.040.020 Real Property Asset Use by non-Federal Entities,RPM.040.020.131,P,"Determine and document expiration information for contract, permit, license, or other granted rights to real property assets by non-Federal entities",OMB Circular A-45R ,
RPM.040 Real Property Asset Operation,RPM.040.020 Real Property Asset Use by non-Federal Entities,RPM.040.020.132,O,"Provide expiration information for contract, permit, license, or other granted rights to real property assets by non-Federal entities ",OMB Circular A-45R ,
RPM.040 Real Property Asset Operation,RPM.040.020 Real Property Asset Use by non-Federal Entities,RPM.040.020.141,P,Develop and document notification of expiration of non-Federal entity's use of real property asset,OMB Circular A-45R ,
RPM.040 Real Property Asset Operation,RPM.040.020 Real Property Asset Use by non-Federal Entities,RPM.040.020.142,O,Provide notification of expiration of non-Federal entity's use of real property asset,OMB Circular A-45R ,
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.011,P,"Develop and document real property asset operations and maintenance management plan, including schedules for maintenance and inspections, consistent with Capital Programming Guide","41 CFR 102-71.20; 
Capital Programming Guide, Section III.3.2;
OMB Circular A-45R ",
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.012,O,"Provide real property asset operations and maintenance management plan, including schedules for maintenance and inspections, consistent with Capital Programming Guide","41 CFR 102-71.20;
Capital Programming Guide, Section III.3.2",
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.021,P,"Develop and document real property asset operations and maintenance policies and procedures (e.g., daily flag raising and lowering, prohibitions on smoking in buildings) consistent with 41 CFR","41 CFR 102–74.10, 102-74.20
OMB Circular A-45R ","National Operations & Maintenance Specification, December 2018"
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.022,O,"Provide real property asset operations and maintenance policies and procedures (e.g., daily flag raising and lowering, prohibitions on smoking in buildings) consistent with 41 CFR","41 CFR 102–74.10, 102-74.20","National Operations & Maintenance Specification, December 2018"
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.031,P,Develop and document request for Delegation of Authority real property asset operations and maintenance ,41 CFR 102-71.20 ,
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.032,O,Provide request for Delegation of Authority real property asset operations and maintenance ,41 CFR 102-71.20 ,
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.041,I,Capture request for Delegation of Authority real property asset operations and maintenance ,41 CFR 102-71.20 ,
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.042,P,Develop and document Delegation of Authority for real property asset and/or component operations and maintenance,41 CFR 102-71.20 ,
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.043,O,Provide Delegation of Authority for real property asset and/or component operations and maintenance,41 CFR 102-71.20 ,
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.051,P,"Develop and document standards (e.g., condition, remaining useful life) for investing in real property asset and/or component maintenance","41 CFR 102-71.20;
Capital Programming Guide, Section III.3.2",
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.052,O,"Provide standards (e.g., condition, remaining useful life) for investing in real property asset and/or component maintenance ","41 CFR 102-71.20;
Capital Programming Guide, Section III.3.2",
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.061,P,"Develop and document relative importance (prioritization business rules) of real property assets (e.g., warehouses, hospitals) and/or components (e.g., hvac, water heater)","Capital Programming Guide, Appendix 9",
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.062,O,"Provide relative importance (prioritization business rules) of real property assets (e.g., warehouses, hospitals) and/or components (e.g., hvac, water heater)","Capital Programming Guide, Appendix 9",
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.071,I,"Capture real property asset and/or components operations and maintenance service request (e.g., half-staff the flag(s), repair and clean leaking toilet) consistent with 41 CFR","41 CFR 102–74.35, 102–74.110; 102-71.20 ",
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.072,P,"Evaluate real property asset and/or component operations and maintenance service request, determine service needs, and record results consistent with 41 CFR","41 CFR 102-71.20, 102–74.35, 102–74.110",
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.073,O,Provide evaluation results for real property asset and/or component operations and maintenance service request and needs information consistent with 41 CFR,"41 CFR 102-71.20, 102–74.35, 102–74.110",
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.081,P,Develop and document notification of receipt of real property asset and/or component operations and maintenance service request consistent with 41 CFR,"41 CFR 102–74.35, 102–74.110",
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.082,O,Provide notification of real property asset and/or component operations and maintenance service request consistent with 41 CFR,"41 CFR 102–74.35, 102–74.110",
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.091,P,Determine real property asset and/or component operations and maintenance service request fulfillment actions and level of effort required and document results consistent with 41 CFR,"41 CFR 102–74.35, 102–74.110",
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.092,O,Provide real property asset and/or component operations and maintenance service request fulfillment actions and level of effort required consistent with 41 CFR,"41 CFR 102–74.35, 102–74.110",
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.101,P,"Evaluate real property asset and/or component operations and maintenance service request fulfillment actions and level of effort required against standards and priorities for investment, determine whether service request falls within investment standards and priorities, and record results",,
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.102,O,Provide evaluation results concerning whether real property asset and/or component operations and maintenance service request falls within investment standards and priorities,,
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.111,P,"Develop and document notification of real property asset and/or component operations and maintenance service request fulfillment action to be taken (e.g., request falls outside of investment standards and priorities, request will be fulfilled)",,
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.112,O,Provide notification of real property asset and/or component operations and maintenance service request fulfillment action to be taken,,
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.121,P,"Develop and document notification of real property asset and/or component operations and maintenance service call to appropriate, available resources consistent with 41 CFR","41 CFR 102–74.35, 102–74.110",
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.122,O,"Provide notification of real property asset and/or component operations and maintenance service call to appropriate, available resources consistent with 41 CFR","41 CFR 102–74.35, 102–74.110",
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.131,I,Capture real property asset and/or component operations and maintenance service request fulfillment information consistent with 41 CFR,"41 CFR 102–74.35, 102–74.110",
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.132,P,"Evaluate fulfillment of real property asset and/or component operations and maintenance service request, identify issues, and record results consistent with 41 CFR","41 CFR 102–74.35, 102–74.110",
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.133,O,Provide closure information for real property asset and/or component operations and maintenance service request consistent with 41 CFR,"41 CFR 102–74.35, 102–74.110",
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.134,O,Provide issues concerning fulfillment of real property asset and/or component operations and maintenance service request consistent with 41 CFR,"41 CFR 02–74.30, 102–74.115",
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.141,P,Determine and document outstanding real property asset and/or component operations and maintenance service requests consistent with 41 CFR,"41 CFR 102–74.35, 102–74.110",
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.142,O,Provide outstanding real property asset and/or component operations and maintenance service requests consistent with 41 CFR,"41 CFR 102–74.35, 102–74.110",
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.151,P,Develop and document request for information concerning outstanding real property asset and/or component operations and maintenance service request consistent with 41 CFR,"41 CFR 102–74.35, 102–74.110",
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.152,O,Provide request for information concerning outstanding real property asset and/or component operations and maintenance service request consistent with 41 CFR,"41 CFR 102–74.35, 102–74.110",
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.161,I,Capture response to request for information concerning outstanding real property asset and/or component operations and maintenance service request consistent with 41 CFR,"41 CFR 102–74.35, 102–74.110",
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.162,P,Evaluate response to request for information concerning outstanding real property asset and/or component operations and maintenance service request and record results consistent with 41 CFR,"41 CFR 102–74.35, 102–74.110",
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.163,O,Provide evaluation results concerning request for information concerning outstanding real property asset and/or component operations and maintenance service request consistent with 41 CFR,"41 CFR 102–74.35, 102–74.110",
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.171,P,Determine and document course of action to resolve outstanding real property asset and/or component operations and maintenance service request consistent with 41 CFR,"41 CFR 102–74.35, 102–74.110",
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.172,O,Provide course of action to resolve outstanding real property asset and/or component operations and maintenance service request consistent with 41 CFR,"41 CFR 102–74.35, 102–74.110",
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.181,P,Determine and document real property asset and/or component operations and maintenance resource needs to address outstanding service requests consistent with 41 CFR,"41 CFR 102–74.35, 102–74.110",
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.182,O,Provide real property asset and/or component operations and maintenance resource needs to address outstanding service requests consistent with 41 CFR,"41 CFR 102–74.35, 102–74.110
OMB Circular A-45R ",
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.191,P,Evaluate historical trend information for real property asset and/or component operations and maintenance service requests and resources used for service fulfillment and record results,,
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.192,O,Provide evaluation results concerning historical trend information for real property asset and/or component operations and maintenance service requests and resources used for service fulfillment,,
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.201,P,Determine whether additional resources are needed to meet real property asset and/or component operations and maintenance resource needs and document results,,
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.202,O,Provide information on additional resources needed to meet real property asset and/or component operations and maintenance resource needs,,
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.211,P,"Develop real property asset and/or component operations and maintenance personnel action request, service contract, or service contract modification information, route for review and approval, and document results",,
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.212,O,"Provide real property asset and/or component operations and maintenance personnel action request, service contract, or service contract modification information and approval information",,
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.221,I,Capture provider real property asset and/or component quality control and operations and maintenance plans,,"National Operations & Maintenance Specification, December 2018"
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.222,P,"Evaluate provider real property asset and/or component quality control and operations and maintenance plans, develop feedback, and record results",,"National Operations & Maintenance Specification, December 2018"
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.223,O,Provide evaluation results concerning provider real property asset and/or component quality control and operations and maintenance plans information ,,"National Operations & Maintenance Specification, December 2018"
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.231,P,Develop and document feedback on provider real property asset and/or component quality control and operations and maintenance plans,,"National Operations & Maintenance Specification, December 2018"
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.232,O,Provide feedback on provider real property asset and/or component quality control and operations and maintenance plans,,"National Operations & Maintenance Specification, December 2018"
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.241,P,"Develop budget estimates (i.e., new and modifications) for real property asset and/or component operations and maintenance costs; route for review and approval; and document results consistent with Capital Programming Guide","Capital Programming Guide, Appendix 8;
OMB Circular A-45R ",
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.242,O,"Provide budget estimates (i.e., new and modifications) for real property asset and/or component operations and maintenance costs consistent with Capital Programming Guide","Capital Programming Guide, Appendix 8;
OMB Circular A-45R ",
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.251,I,Capture real property asset and/or component operations and maintenance performance information consistent with 41 CFR and Capital Programming Guide,"41 CFR 102–74.30, 102–74.115; Capital Programming Guide, Section III.3.2","National Operations & Maintenance Specification, December 2018"
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.252,P,"Evaluate real property asset and/or component operations and maintenance (O&M) provisioning, fulfillment, and performance information against O&M management plan; determine issues and concerns; and record results consistent with 41 CFR and Capital Programming Guide","41 CFR 102–74.30, 102–74.115; Capital Programming Guide, Section III.3.2","National Operations & Maintenance Specification, December 2018"
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.253,O,"Provide evaluation results concerning real property asset and/or component operations and maintenance (O&M) provisioning, fulfillment, and performance information, including issues and concerns consistent with 41 CFR and Capital Programming Guide","41 CFR 102–74.30, 102–74.115; Capital Programming Guide, Section III.3.2","National Operations & Maintenance Specification, December 2018"
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.261,P,"Develop notification of real property asset and/or component operations and maintenance performance issues and concerns, request corrective action plan, and document results consistent with 41 CFR and Capital Programming Guide","41 CFR 102–74.30, 102–74.115; Capital Programming Guide, Section III.3.2","National Operations & Maintenance Specification, December 2018"
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.262,O,"Provide notification of real property asset and/or component operations and maintenance performance issues and concerns and request for corrective action plan, including disciplinary actions or training needed to improve performance of personnel, consistent with 41 CFR and Capital Programming Guide","41 CFR 102–74.30, 102–74.115; Capital Programming Guide, Section III.3.2","National Operations & Maintenance Specification, December 2018"
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.271,I,Capture corrective action plan or updates to corrective action plan information for remedying real property asset and/or component operations and maintenance performance issues and concerns consistent with 41 CFR and Capital Programming Guide,"41 CFR 102–74.30, 102–74.115; Capital Programming Guide, Section III.3.2","National Operations & Maintenance Specification, December 2018"
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.272,P,Evaluate corrective action plan or updates to corrective action plan for remedying real property asset and/or component operations and maintenance performance issues and concerns and record results consistent with 41 CFR and Capital Programming Guide,"41 CFR 102–74.30, 102–74.115; Capital Programming Guide, Section III.3.2","National Operations & Maintenance Specification, December 2018"
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.273,O,Provide evaluation results for corrective action plan or updates to corrective action plan for remedying real property asset and/or component operations and maintenance performance issues and concerns consistent with 41 CFR and Capital Programming Guide,"41 CFR 102–74.30, 102–74.115; Capital Programming Guide, Section III.3.2","National Operations & Maintenance Specification, December 2018"
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.281,P,Develop and document feedback on corrective action plan or updates to corrective action plan for remedying real property asset and/or component operations and maintenance performance issues and concerns consistent with 41 CFR and Capital Programming Guide,"41 CFR 102–74.30, 102–74.115; Capital Programming Guide, Section III.3.2","National Operations & Maintenance Specification, December 2018"
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.282,O,Provide feedback on feedback on corrective action plan or updates to corrective action plan for remedying real property asset and/or component operations and maintenance performance issues and concerns consistent with 41 CFR and Capital Programming Guide,"41 CFR 102–74.30, 102–74.115; Capital Programming Guide, Section III.3.2","National Operations & Maintenance Specification, December 2018"
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.291,I,Capture status information concerning corrective action plan for remedying real property asset and/or component operations and maintenance performance issues and concerns consistent with 41 CFR and Capital Programming Guide,"41 CFR 102–74.30, 102–74.115; Capital Programming Guide, Section III.3.2","National Operations & Maintenance Specification, December 2018"
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.292,P,Evaluate status information concerning corrective action plan for remedying real property asset and/or component operations and maintenance performance issues and concerns and record results consistent with 41 CFR and Capital Programming Guide,"41 CFR 102–74.30, 102–74.115; Capital Programming Guide, Section III.3.2","National Operations & Maintenance Specification, December 2018"
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.293,O,Provide evaluation results for status information concerning corrective action plan for remedying real property asset and/or component operations and maintenance performance issues and concerns consistent with 41 CFR and Capital Programming Guide,"41 CFR 102–74.30, 102–74.115; Capital Programming Guide, Section III.3.2","National Operations & Maintenance Specification, December 2018"
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.301,I,"Capture real property asset and/or component inspections, maintenance, and testing information consistent with 41 CFR",41 CFR 102–71.20,"National Operations & Maintenance Specification, December 2018"
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.302,P,"Evaluate real property asset and/or component inspections, maintenance, and testing information, determine issues and concerns, and record results consistent with 41 CFR",41 CFR 102–71.20,"National Operations & Maintenance Specification, December 2018"
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.303,O,"Provide evaluation results for real property asset and/or component inspections, maintenance, and testing information, including issues and concerns consistent with 41 CFR",41 CFR 102–71.20,"National Operations & Maintenance Specification, December 2018"
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.311,P,"Develop notification of issues and concerns from real property asset and/or component inspections, maintenance, and testing, request corrective action plan, and document results consistent with 41 CFR",41 CFR 102–71.20,"National Operations & Maintenance Specification, December 2018"
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.312,O,"Provide notification of issues and concerns from real property asset and/or component inspections, maintenance, and testing and request for corrective action plan consistent with 41 CFR",41 CFR 102–71.20,"National Operations & Maintenance Specification, December 2018"
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.321,I,"Capture corrective action plan or updates to corrective action plan information for remedying issues and concerns from real property asset and/or component inspections, maintenance, and testing consistent with 41 CFR",41 CFR 102–71.20,"National Operations & Maintenance Specification, December 2018"
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.322,P,"Evaluate corrective action plan or updates to corrective action plan information for remedying issues and concerns from real property asset and/or component inspections, maintenance, and testing and record results consistent with 41 CFR",41 CFR 102–71.20,"National Operations & Maintenance Specification, December 2018"
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.323,O,"Provide evaluation results concerning corrective action plan or updates to corrective action plan information for remedying issues and concerns from real property asset and/or component inspections, maintenance, and testing consistent with 41 CFR",41 CFR 102–71.20,"National Operations & Maintenance Specification, December 2018"
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.331,P,"Develop and document feedback on corrective action plan or updates to corrective action plan information for remedying issues and concerns from real property asset and/or component inspections, maintenance, and testing consistent with 41 CFR",41 CFR 102–71.20,"National Operations & Maintenance Specification, December 2018"
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.332,O,"Provide feedback on corrective action plan or updates to corrective action plan information for remedying issues and concerns from real property asset and/or component inspections, maintenance, and testing consistent with 41 CFR",41 CFR 102–71.20,"National Operations & Maintenance Specification, December 2018"
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.341,I,"Capture status information concerning corrective action plan for remedying issues and concerns from real property asset and/or component inspections, maintenance, and testing consistent with 41 CFR",41 CFR 102–71.20,"National Operations & Maintenance Specification, December 2018"
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.342,P,"Evaluate status information concerning corrective action plan for remedying issues and concerns from real property asset and/or component inspections, maintenance, and testing and record results consistent with 41 CFR",41 CFR 102–71.20,"National Operations & Maintenance Specification, December 2018"
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.343,O,"Provide evaluation results for status information concerning corrective action plan for remedying issues and concerns from real property asset and/or component inspections, maintenance, and testing consistent with 41 CFR",41 CFR 102–71.20,"National Operations & Maintenance Specification, December 2018"
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.351,P,Develop and document request for tenant satisfaction information,,"National Operations & Maintenance Specification, December 2018"
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.352,O,Provide request for tenant satisfaction information,,"National Operations & Maintenance Specification, December 2018"
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.361,P,Evaluate tenant satisfaction information and record results,,"National Operations & Maintenance Specification, December 2018"
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.362,O,Provide evaluation results concerning tenant satisfaction information,,"National Operations & Maintenance Specification, December 2018"
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.371,P,Determine and document action plan to improve tenant satisfaction,,"National Operations & Maintenance Specification, December 2018"
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.372,O,Provide action plan to improve tenant satisfaction,,"National Operations & Maintenance Specification, December 2018"
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.381,I,Capture status information concerning action plan to improve tenant satisfaction,,"National Operations & Maintenance Specification, December 2018"
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.382,P,Evaluate status information concerning action plan to improve tenant satisfaction and record results,,"National Operations & Maintenance Specification, December 2018"
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.383,O,Provide evaluation results for status information concerning action plan to improve tenant satisfaction,,"National Operations & Maintenance Specification, December 2018"
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.391,I,Capture real property asset and/or component utility and energy information consistent with 41 CFR,"41 CFR 102–74.165, 102–74.175",
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.392,P,"Evaluate real property asset and/or component utility and energy information against detailed real property asset and/or component design, including specifications, and contracts and record results consistent with 41 CFR","41 CFR 102–74.165, 102–74.175",
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.393,O,"Provide results for real property asset and/or component utility and energy information evaluation against detailed real property asset and/or component design, including specifications, and contracts consistent with 41 CFR","41 CFR 102–74.165, 102–74.175",
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.401,P,Determine and document real property asset and/or component utility and energy management issues and concerns consistent with 41 CFR,"41 CFR 102–74.165, 102–74.175",
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.402,O,Provide real property asset and/or component utility and energy management issues and concerns consistent with 41 CFR,"41 CFR 102–74.165, 102–74.175",
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.411,P,Develop and document corrective actions to address real property asset and/or component utility and energy management issues and concerns consistent with 41 CFR,"41 CFR 102–74.165, 102–74.175",
RPM.040 Real Property Asset Operation,RPM.040.030 Real Property Asset Operations and Maintenance (O&M) Management,RPM.040.030.412,O,Provide corrective actions to remedy real property asset and/or component utility and energy management issues and concerns consistent with 41 CFR,"41 CFR 102–74.165, 102–74.175",
